pid,valence,emotion,target
1P000,1,동기기대,일반
1P001,1,동기기대,일반
1P002,1,동기기대,일반
1P003,2,동기기대,일반
1P004,1,동기기대,일반
1P005,1,동기기대,일반
1P006,1,동기기대,일반
1P007,1,동기기대,일반
1P008,2,동기기대,일반
1P009,2,동기기대,일반
1P010,1,동기기대,일반
1P011,1,동기기대,일반
1P012,0,불안,자기학습
1P013,2,동기기대,일반
1P014,1,동기기대,일반
1P015,1,동기기대,일반
1P016,1,동기기대,일반
1P017,1,동기기대,일반
1P018,1,성취만족,AI
1P019,1,동기기대,일반
1P020,1,성취만족,과제
1P021,1,성취만족,AI
1P022,1,동기기대,일반
1P023,2,동기기대,일반
1P024,1,동기기대,일반
1P025,1,동기기대,자기학습
1P026,2,동기기대,일반
1P027,2,성취만족,AI
1P028,1,성취만족,과제
1P029,1,동기기대,일반
1P030,1,동기기대,일반
1P031,1,동기기대,일반
1P032,2,동기기대,일반
1P033,0,혼란,과제
1P034,1,성취만족,과제
1P035,2,성취만족,AI
1P036,2,성취만족,운영
1P037,1,성취만족,과제
1P038,0,동기기대,AI
1P039,1,동기기대,일반
1P040,2,성취만족,AI
1P041,1,동기기대,일반
1P042,1,동기기대,일반
1P043,1,성취만족,과제
1P044,1,동기기대,일반
1P045,1,성취만족,과제
1P046,2,동기기대,일반
1P047,1,성취만족,과제
1P048,1,성취만족,과제
1P049,1,동기기대,일반
1P050,1,동기기대,일반
1P051,1,동기기대,일반
1P052,2,성취만족,AI
1P053,1,동기기대,일반
1P054,0,혼란,과제
1P055,1,동기기대,일반
1P056,1,성취만족,과제
1P057,1,동기기대,과제
1P058,1,동기기대,일반
1P059,0,혼란,AI
1P060,1,동기기대,일반
1P061,2,성취만족,AI
1P062,2,성취만족,운영
1P063,1,동기기대,일반
1P064,2,성취만족,자기학습
1P065,1,동기기대,일반
1P066,1,성취만족,과제
1P067,1,동기기대,일반
1P068,1,동기기대,일반
1P069,1,동기기대,일반
1P070,1,성취만족,과제
1P071,1,동기기대,일반
1P072,1,성취만족,과제
1P073,1,동기기대,일반
1P074,2,동기기대,일반
1P075,1,동기기대,일반
1P076,1,성취만족,AI
1P077,1,동기기대,일반
1P078,1,성취만족,과제
1P079,1,동기기대,자기학습
1P080,2,동기기대,일반
1P081,1,동기기대,일반
1P082,1,성취만족,과제
1P083,1,성취만족,자기학습
1P084,1,성취만족,자기학습
1P085,0,혼란,과제
1P086,1,성취만족,과제
1P087,1,성취만족,AI
1P088,1,동기기대,일반
1P089,1,성취만족,과제
1P090,1,성취만족,과제
1P091,2,성취만족,AI
1P092,1,동기기대,일반
1P093,2,동기기대,일반
1P094,2,성취만족,AI
1P095,1,동기기대,일반
1P096,1,성취만족,운영
1P097,1,성취만족,과제
1P098,0,중립,과제
1P099,0,혼란,과제
1P100,1,동기기대,일반
1P101,1,동기기대,일반
1P102,1,동기기대,일반
1P103,1,성취만족,과제
1P104,0,중립,과제
1P105,1,성취만족,과제
1P106,1,성취만족,자기학습
1P107,1,동기기대,일반
1P108,1,성취만족,자기학습
1P109,1,성취만족,과제
1P110,1,동기기대,일반
1P111,1,동기기대,일반
1P112,1,성취만족,과제
1P113,1,성취만족,AI
1P114,1,동기기대,일반
1P115,1,성취만족,AI
1P116,1,성취만족,과제
1P117,1,동기기대,일반
1P118,2,동기기대,일반
1P119,1,성취만족,과제
1P120,0,혼란,과제
1P121,1,동기기대,자기학습
1P122,1,성취만족,과제
1P123,0,중립,과제
1P124,1,성취만족,과제
1P125,0,혼란,자기학습
1P126,0,혼란,과제
1P127,1,성취만족,과제
1P128,1,동기기대,일반
1P129,0,혼란,과제
1P130,0,혼란,과제
1P131,0,혼란,과제
1P132,1,성취만족,AI
1P133,1,성취만족,과제
1P134,1,성취만족,AI
1P135,1,성취만족,과제
1P136,1,성취만족,과제
1P137,1,동기기대,일반
1P138,1,성취만족,과제
1P139,1,성취만족,과제
1P140,1,성취만족,과제
1P141,0,혼란,과제
1P142,1,성취만족,자기학습
1P143,1,성취만족,과제
1P144,1,동기기대,일반
1P145,1,성취만족,과제
1P146,1,동기기대,일반
1P147,1,성취만족,과제
1P148,1,동기기대,일반
1P149,0,혼란,과제
1P150,1,성취만족,과제
1P151,1,성취만족,과제
1P152,2,성취만족,AI
1P153,1,성취만족,과제
1P154,1,성취만족,과제
1P155,1,성취만족,AI
1P156,0,혼란,과제
1P157,0,혼란,과제
1P158,1,동기기대,일반
1P159,0,혼란,과제
1P160,0,혼란,과제
1P161,1,성취만족,과제
1P162,1,성취만족,과제
1P163,1,성취만족,과제
1P164,1,성취만족,과제
1P165,1,성취만족,과제
1P166,1,성취만족,과제
1P167,1,성취만족,과제
1P168,1,성취만족,과제
1P169,1,성취만족,과제
1P170,1,성취만족,과제
1P171,1,성취만족,과제
1P172,1,성취만족,자기학습
1P173,0,혼란,과제
1P174,1,성취만족,과제
1P175,1,성취만족,과제
1P176,1,성취만족,과제
1P177,1,성취만족,과제
1P178,1,성취만족,과제
1P179,1,성취만족,과제
1P180,2,성취만족,AI
1P181,1,성취만족,과제
1P182,0,혼란,과제
1P183,1,동기기대,일반
1P184,0,혼란,과제
1P185,1,성취만족,과제
1P186,1,성취만족,과제
1P187,1,성취만족,과제
1P188,1,성취만족,과제
1P189,1,성취만족,과제
1P190,2,성취만족,AI
1P191,1,성취만족,과제
1P192,1,성취만족,과제
1P193,1,성취만족,과제
1P194,1,성취만족,과제
1P195,2,성취만족,과제
1P196,1,성취만족,과제
1P197,1,성취만족,과제
1P198,1,성취만족,과제
1P199,1,성취만족,과제
1P200,1,성취만족,과제
1P201,1,성취만족,과제
1P202,1,성취만족,과제
1P203,1,성취만족,과제
1P204,1,성취만족,과제
1P205,1,성취만족,과제
1P206,1,성취만족,과제
1P207,1,성취만족,과제
1P208,1,성취만족,과제
1P209,2,성취만족,과제
1P210,2,성취만족,과제
1P211,1,성취만족,과제
1P212,1,성취만족,과제
1P213,0,중립,과제
1P214,1,성취만족,과제
1P215,1,성취만족,과제
1P216,1,성취만족,과제
1P217,1,성취만족,과제
1P218,1,성취만족,과제
1P219,1,성취만족,과제
1P220,1,동기기대,일반
1P221,1,성취만족,과제
1P222,1,동기기대,자기학습
1P223,1,성취만족,과제
1P224,2,성취만족,과제
1P225,0,혼란,과제
1P226,1,성취만족,과제
1P227,1,성취만족,과제
1P228,1,성취만족,과제
1P229,2,성취만족,과제
1P230,1,성취만족,과제
1P231,0,중립,과제
1P232,1,성취만족,과제
1P233,1,성취만족,과제
1P234,1,성취만족,과제
1P235,1,성취만족,과제
1P236,0,혼란,과제
1P237,1,성취만족,과제
1P238,1,성취만족,과제
1P239,1,성취만족,과제
1P240,1,성취만족,과제
1P241,0,혼란,과제
1P242,1,성취만족,과제
1P243,-1,좌절,과제
1P244,0,혼란,과제
1P245,1,성취만족,과제
1P246,1,성취만족,과제
1P247,1,성취만족,과제
1P248,1,성취만족,과제
1P249,1,성취만족,과제
1P250,1,성취만족,과제
1P251,1,성취만족,과제
1P252,1,성취만족,과제
1P253,1,성취만족,과제
1P254,1,성취만족,과제
1P255,0,혼란,과제
1P256,1,성취만족,과제
1P257,1,성취만족,과제
1P258,1,성취만족,과제
1P259,1,성취만족,과제
1P260,1,성취만족,과제
1P261,1,성취만족,과제
1P262,0,혼란,과제
1P263,1,성취만족,과제
1P264,1,성취만족,과제
1P265,1,성취만족,과제
1P266,1,성취만족,운영
1P267,1,성취만족,과제
1P268,1,성취만족,과제
1P269,1,성취만족,과제
1P270,1,성취만족,과제
1P271,1,성취만족,과제
1P272,1,성취만족,과제
1P273,1,성취만족,과제
1P274,1,성취만족,과제
1P275,-1,좌절,과제
1P276,1,성취만족,과제
1P277,1,성취만족,과제
1P278,1,성취만족,과제
1P279,1,성취만족,과제
1P280,1,성취만족,과제
1P281,1,성취만족,과제
1P282,1,성취만족,과제
1P283,1,성취만족,과제
1P284,0,혼란,과제
1P285,1,성취만족,과제
1P286,1,성취만족,과제
1P287,1,성취만족,과제
1P288,1,성취만족,과제
1P289,2,성취만족,과제
1P290,1,성취만족,과제
1P291,1,성취만족,과제
1P292,1,성취만족,과제
1P293,1,성취만족,과제
1P294,1,성취만족,과제
1P295,1,성취만족,과제
1P296,1,동기기대,일반
1P297,1,성취만족,과제
1P298,1,성취만족,과제
