pid,day,valence,emotion,target,v,knu
1P000,0,1,동기기대,일반,0.5,0.35714285714285715
1P001,0,1,동기기대,일반,0.5,0.16666666666666666
1P002,0,1,동기기대,일반,0.5,0.5
1P003,0,2,동기기대,일반,1.0,0.4375
1P004,0,1,동기기대,일반,0.5,0.35714285714285715
1P005,0,1,동기기대,일반,0.5,0.1111111111111111
1P006,0,1,동기기대,일반,0.5,0.125
1P007,0,1,동기기대,일반,0.5,0.625
1P008,0,2,동기기대,일반,1.0,0.5
1P009,0,2,동기기대,일반,1.0,0.6666666666666666
1P010,0,1,동기기대,일반,0.5,0.16666666666666666
1P011,0,1,동기기대,일반,0.5,0.5
1P012,0,0,불안,자기학습,0.0,0.1875
1P013,0,2,동기기대,일반,1.0,0.25
1P014,0,1,동기기대,일반,0.5,0.5
1P015,0,1,동기기대,일반,0.5,0.5
1P016,0,1,동기기대,일반,0.5,0.5
1P017,0,1,동기기대,일반,0.5,0.42857142857142855
1P018,1,1,성취만족,AI,0.5,0.5
1P019,0,1,동기기대,일반,0.5,0.0
1P020,1,1,성취만족,과제,0.5,0.42105263157894735
1P021,1,1,성취만족,AI,0.5,0.4375
1P022,0,1,동기기대,일반,0.5,0.625
1P023,0,2,동기기대,일반,1.0,0.25
1P024,0,1,동기기대,일반,0.5,-0.125
1P025,0,1,동기기대,자기학습,0.5,0.1
1P026,0,2,동기기대,일반,1.0,0.2
1P027,1,2,성취만족,AI,1.0,0.3055555555555556
1P028,1,1,성취만족,과제,0.5,0.36363636363636365
1P029,0,1,동기기대,일반,0.5,-0.4166666666666667
1P030,0,1,동기기대,일반,0.5,0.4166666666666667
1P031,0,1,동기기대,일반,0.5,0.5
1P032,0,2,동기기대,일반,1.0,0.2777777777777778
1P033,1,0,혼란,과제,0.0,0.375
1P034,1,1,성취만족,과제,0.5,0.25
1P035,1,2,성취만족,AI,1.0,0.4444444444444444
1P036,1,2,성취만족,운영,1.0,0.14285714285714285
1P037,1,1,성취만족,과제,0.5,0.38461538461538464
1P038,0,0,동기기대,AI,0.0,0.16666666666666666
1P039,0,1,동기기대,일반,0.5,0.5
1P040,1,2,성취만족,AI,1.0,-0.03571428571428571
1P041,0,1,동기기대,일반,0.5,0.625
1P042,0,1,동기기대,일반,0.5,0.6666666666666666
1P043,1,1,성취만족,과제,0.5,0.2777777777777778
1P044,0,1,동기기대,일반,0.5,0.5833333333333334
1P045,1,1,성취만족,과제,0.5,0.1
1P046,0,2,동기기대,일반,1.0,0.75
1P047,1,1,성취만족,과제,0.5,0.35
1P048,1,1,성취만족,과제,0.5,0.07142857142857142
1P049,0,1,동기기대,일반,0.5,0.2
1P050,0,1,동기기대,일반,0.5,0.3
1P051,0,1,동기기대,일반,0.5,0.5
1P052,1,2,성취만족,AI,1.0,0.15
1P053,0,1,동기기대,일반,0.5,0.3333333333333333
1P054,1,0,혼란,과제,0.0,-0.06666666666666667
1P055,1,1,동기기대,일반,0.5,0.7
1P056,1,1,성취만족,과제,0.5,-0.05555555555555555
1P057,1,1,동기기대,과제,0.5,0.3
1P058,0,1,동기기대,일반,0.5,0.5
1P059,1,0,혼란,AI,0.0,0.25
1P060,0,1,동기기대,일반,0.5,0.375
1P061,1,2,성취만족,AI,1.0,0.3
1P062,1,2,성취만족,운영,1.0,0.3684210526315789
1P063,0,1,동기기대,일반,0.5,0.6818181818181818
1P064,1,2,성취만족,자기학습,1.0,0.25
1P065,0,1,동기기대,일반,0.5,0.5
1P066,1,1,성취만족,과제,0.5,0.4444444444444444
1P067,0,1,동기기대,일반,0.5,0.5
1P068,0,1,동기기대,일반,0.5,0.16666666666666666
1P069,0,1,동기기대,일반,0.5,0.0
1P070,1,1,성취만족,과제,0.5,0.25
1P071,0,1,동기기대,일반,0.5,0.75
1P072,1,1,성취만족,과제,0.5,0.08333333333333333
1P073,0,1,동기기대,일반,0.5,-0.25
1P074,0,2,동기기대,일반,1.0,0.8333333333333334
1P075,0,1,동기기대,일반,0.5,0.5
1P076,1,1,성취만족,AI,0.5,0.25
1P077,0,1,동기기대,일반,0.5,0.5
1P078,1,1,성취만족,과제,0.5,0.6111111111111112
1P079,0,1,동기기대,자기학습,0.5,0.0
1P080,0,2,동기기대,일반,1.0,0.5
1P081,0,1,동기기대,일반,0.5,0.8333333333333334
1P082,1,1,성취만족,과제,0.5,-0.14285714285714285
1P083,1,1,성취만족,자기학습,0.5,-0.027777777777777776
1P084,1,1,성취만족,자기학습,0.5,0.06666666666666667
1P085,1,0,혼란,과제,0.0,0.0
1P086,1,1,성취만족,과제,0.5,0.16666666666666666
1P087,1,1,성취만족,AI,0.5,-0.06666666666666667
1P088,0,1,동기기대,일반,0.5,0.16666666666666666
1P089,1,1,성취만족,과제,0.5,0.1
1P090,1,1,성취만족,과제,0.5,0.2903225806451613
1P091,1,2,성취만족,AI,1.0,0.13636363636363635
1P092,0,1,동기기대,일반,0.5,0.7
1P093,0,2,동기기대,일반,1.0,0.7
1P094,1,2,성취만족,AI,1.0,0.4166666666666667
1P095,0,1,동기기대,일반,0.5,0.6
1P096,1,1,성취만족,운영,0.5,0.2916666666666667
1P097,1,1,성취만족,과제,0.5,0.2777777777777778
1P098,1,0,중립,과제,0.0,0.1
1P099,1,0,혼란,과제,0.0,0.1111111111111111
1P100,0,1,동기기대,일반,0.5,-0.08333333333333333
1P101,0,1,동기기대,일반,0.5,0.6666666666666666
1P102,0,1,동기기대,일반,0.5,0.5
1P103,1,1,성취만족,과제,0.5,0.0
1P104,1,0,중립,과제,0.0,0.3
1P105,1,1,성취만족,과제,0.5,0.2857142857142857
1P106,1,1,성취만족,자기학습,0.5,0.1111111111111111
1P107,0,1,동기기대,일반,0.5,0.125
1P108,0,1,성취만족,자기학습,0.5,0.041666666666666664
