anon_post_id,anon_user_id,day,valence,llm,sentiment_score,human_operator_comment_count,ai_comment_count,participant_comment_count,text_length,ai_HL,humanFB,aiFB,aiDose,loglen,llm_next,day_next,humanFB_lag,aiFB_lag,llm_lag
BP0132,U0007,0,1,0.5,1.0,1,0,1,238,,1,0,0,5.476463551931511,0.5,1.0,,,
BP0221,U0007,1,1,0.5,0.273,3,1,1,1178,0.0012130683067481586,1,1,1,7.072421900537371,1.0,2.0,1.0,0.0,0.5
BP0012,U0007,2,2,1.0,0.538,0,1,0,963,8.851279332488721e-06,0,1,1,6.871091294610546,0.5,3.0,1.0,1.0,0.5
BP0094,U0007,3,1,0.5,0.538,0,1,0,643,1.9990228791578954e-05,0,1,1,6.467698726104354,0.5,4.0,0.0,1.0,1.0
BP0069,U0007,4,1,0.5,0.556,0,1,0,489,0.003807329660173216,0,1,1,6.194405391104672,0.5,5.0,0.0,1.0,0.5
BP0169,U0007,5,1,0.5,0.8,0,1,0,868,0.005297474917509172,0,1,1,6.767343125265392,,,0.0,1.0,0.5
BP0355,U0008,0,1,0.5,1.0,1,0,0,655,,1,0,0,6.486160788944089,0.5,1.0,,,
BP0379,U0008,1,1,0.5,0.143,0,1,0,434,0.013601695190029876,0,1,1,6.075346031088684,1.0,2.0,1.0,0.0,0.5
BP0271,U0008,2,2,1.0,0.5,0,1,0,296,0.0038888851137449166,0,1,1,5.6937321388027,0.5,3.0,0.0,1.0,0.5
BP0378,U0008,3,1,0.5,0.333,0,1,1,339,0.0407275025543515,0,1,1,5.8289456176102075,0.5,4.0,0.0,1.0,1.0
BP0080,U0008,4,1,0.5,0.143,0,1,0,504,0.015692587704678268,0,1,1,6.22455842927536,1.0,5.0,0.0,1.0,0.5
BP0003,U0008,5,2,1.0,0.75,0,1,0,377,0.023259335514761295,0,1,1,5.934894195619588,,,0.0,1.0,0.5
BP0254,U0011,0,2,1.0,1.0,1,0,0,361,,1,0,0,5.8916442118257715,1.0,1.0,,,
BP0344,U0011,1,2,1.0,0.5,1,1,0,441,0.010997870405708035,1,1,1,6.091309882077698,0.5,2.0,1.0,0.0,1.0
