id,valence,emotion,target
1,1,동기기대,일반
2,1,동기기대,일반
3,1,동기기대,일반
4,1,동기기대,일반
5,1,동기기대,일반
6,1,동기기대,자기학습
7,2,동기기대,일반
8,1,동기기대,일반
9,1,불안,자기학습
10,1,동기기대,일반
11,1,동기기대,AI
12,2,동기기대,일반
13,1,동기기대,자기학습
14,1,동기기대,자기학습
15,2,동기기대,일반
16,1,동기기대,자기학습
17,1,동기기대,일반
18,1,동기기대,일반
19,1,동기기대,일반
20,1,동기기대,일반
21,1,동기기대,일반
22,1,동기기대,일반
23,1,동기기대,자기학습
24,1,동기기대,일반
25,1,동기기대,AI
26,1,동기기대,일반
27,0,중립,자기학습
28,1,동기기대,일반
29,1,동기기대,자기학습
30,1,동기기대,일반
31,1,동기기대,자기학습
32,1,동기기대,자기학습
33,1,동기기대,자기학습
34,2,동기기대,일반
35,1,동기기대,자기학습
36,1,동기기대,일반
37,2,동기기대,AI
38,2,성취만족,과제
39,1,동기기대,일반
40,1,동기기대,자기학습
41,1,동기기대,AI
42,1,동기기대,일반
43,1,성취만족,과제
44,1,성취만족,과제
45,1,동기기대,일반
46,1,동기기대,자기학습
47,1,동기기대,일반
48,1,성취만족,과제
49,1,성취만족,AI
50,1,동기기대,일반
51,2,성취만족,과제
52,1,성취만족,AI
53,1,성취만족,과제
54,1,동기기대,일반
55,1,동기기대,일반
56,1,성취만족,과제
57,2,성취만족,AI
58,1,성취만족,과제
59,2,성취만족,AI
60,1,동기기대,일반
61,1,성취만족,과제
62,1,동기기대,일반
63,-1,좌절,과제
64,1,동기기대,일반
65,2,성취만족,과제
66,2,성취만족,AI
67,1,성취만족,과제
68,2,성취만족,과제
69,1,동기기대,일반
70,0,중립,과제
71,-1,좌절,과제
72,1,성취만족,과제
73,1,성취만족,과제
74,1,동기기대,일반
75,1,성취만족,과제
76,1,성취만족,과제
77,-1,좌절,과제
78,1,성취만족,과제
79,1,성취만족,과제
80,1,성취만족,과제
81,1,성취만족,과제
82,2,성취만족,과제
83,1,동기기대,자기학습
84,1,성취만족,운영
85,2,동기기대,AI
86,0,혼란,과제
87,1,성취만족,AI
88,0,혼란,AI
89,1,성취만족,과제
90,1,성취만족,과제
91,1,성취만족,과제
92,-1,좌절,과제
93,2,동기기대,AI
94,1,성취만족,과제
95,2,성취만족,과제
96,1,성취만족,과제
97,2,성취만족,AI
98,1,동기기대,일반
99,1,성취만족,과제
100,1,동기기대,일반
101,2,성취만족,과제
102,1,성취만족,과제
103,1,성취만족,과제
104,1,동기기대,자기학습
105,2,성취만족,AI
106,2,성취만족,AI
107,1,성취만족,과제
108,1,성취만족,AI
109,1,성취만족,과제
110,2,성취만족,과제
111,2,성취만족,과제
112,0,혼란,과제
113,2,성취만족,과제
114,2,성취만족,과제
115,1,성취만족,과제
116,2,성취만족,과제
117,2,성취만족,AI
118,2,성취만족,과제
119,1,성취만족,과제
120,2,성취만족,AI
121,2,성취만족,AI
122,1,성취만족,과제
123,1,성취만족,과제
124,1,성취만족,과제
125,0,혼란,과제
126,1,동기기대,일반
127,2,성취만족,AI
128,0,중립,과제
129,1,성취만족,과제
130,1,성취만족,과제
131,2,성취만족,AI
132,1,성취만족,과제
133,2,성취만족,과제
134,0,혼란,과제
135,1,성취만족,과제
136,2,성취만족,AI
137,1,성취만족,과제
138,1,성취만족,과제
139,0,중립,과제
140,-1,좌절,과제
141,2,성취만족,과제
142,1,성취만족,과제
143,2,성취만족,AI
144,1,성취만족,과제
145,1,성취만족,과제
146,1,성취만족,과제
147,2,성취만족,과제
148,1,성취만족,과제
149,1,성취만족,과제
150,2,성취만족,AI
151,1,성취만족,과제
152,1,성취만족,과제
153,1,성취만족,과제
154,1,성취만족,과제
155,2,성취만족,과제
156,1,성취만족,과제
157,1,성취만족,과제
158,1,성취만족,과제
159,1,성취만족,AI
160,1,성취만족,과제
161,1,성취만족,과제
162,2,성취만족,AI
163,1,성취만족,과제
164,0,불안,과제
165,2,성취만족,AI
166,1,성취만족,과제
167,2,성취만족,과제
168,1,동기기대,일반
169,1,성취만족,과제
170,2,성취만족,과제
171,1,성취만족,AI
172,2,성취만족,AI
173,1,성취만족,과제
174,2,성취만족,AI
175,2,성취만족,과제
176,0,혼란,과제
177,0,혼란,과제
178,1,성취만족,AI
179,0,중립,과제
180,1,성취만족,과제
181,2,성취만족,과제
182,1,성취만족,과제
183,2,성취만족,과제
184,2,성취만족,과제
185,1,성취만족,과제
186,2,성취만족,과제
187,1,성취만족,과제
188,1,성취만족,과제
189,1,성취만족,과제
190,2,성취만족,과제
191,1,성취만족,과제
192,2,성취만족,AI
193,1,성취만족,과제
194,1,성취만족,과제
195,1,성취만족,과제
196,2,성취만족,과제
197,1,성취만족,과제
198,2,성취만족,과제
199,1,성취만족,과제
200,2,성취만족,AI
201,1,성취만족,과제
202,1,성취만족,과제
203,1,성취만족,과제
204,1,성취만족,과제
205,1,성취만족,과제
206,2,성취만족,과제
207,1,성취만족,과제
208,1,성취만족,과제
209,1,성취만족,과제
210,1,성취만족,과제
211,2,성취만족,AI
212,2,성취만족,과제
213,1,성취만족,과제
214,2,성취만족,과제
215,0,불안,과제
216,1,성취만족,AI
217,2,성취만족,과제
218,1,동기기대,일반
219,1,동기기대,일반
220,1,성취만족,과제
221,2,성취만족,과제
222,1,성취만족,과제
223,1,성취만족,과제
224,1,성취만족,과제
225,1,성취만족,과제
226,2,성취만족,과제
227,1,성취만족,과제
228,2,성취만족,AI
229,1,성취만족,과제
230,1,성취만족,과제
231,1,성취만족,과제
232,1,성취만족,과제
233,2,성취만족,과제
234,2,성취만족,과제
235,1,성취만족,과제
236,2,성취만족,과제
237,2,성취만족,과제
238,1,성취만족,과제
239,-1,불안,자기학습
240,1,성취만족,과제
241,1,성취만족,과제
242,1,성취만족,과제
243,1,성취만족,AI
244,1,성취만족,과제
245,2,성취만족,과제
246,1,성취만족,과제
247,1,성취만족,과제
248,0,혼란,과제
249,1,성취만족,과제
250,1,성취만족,과제
251,0,좌절,과제
252,0,중립,과제
253,0,중립,과제
254,0,중립,과제
255,1,성취만족,과제
256,0,중립,과제
257,1,성취만족,과제
258,2,성취만족,과제
259,1,성취만족,과제
260,1,성취만족,과제
261,2,성취만족,과제
262,1,성취만족,과제
263,1,성취만족,과제
264,2,성취만족,AI
265,1,동기기대,일반
266,1,성취만족,과제
267,1,성취만족,과제
268,1,성취만족,과제
269,1,성취만족,과제
270,1,성취만족,과제
271,1,성취만족,과제
272,1,성취만족,과제
273,1,성취만족,AI
274,2,성취만족,과제
275,1,성취만족,과제
276,2,성취만족,과제
277,1,성취만족,과제
278,1,성취만족,과제
279,1,동기기대,일반
280,1,성취만족,AI
281,1,성취만족,과제
282,1,성취만족,과제
283,1,성취만족,과제
284,1,성취만족,과제
285,2,성취만족,AI
286,1,성취만족,과제
287,1,성취만족,과제
288,1,성취만족,과제
289,1,성취만족,AI
290,1,성취만족,과제
291,1,성취만족,과제
292,1,성취만족,과제
293,1,성취만족,과제
294,2,성취만족,과제
295,2,성취만족,과제
296,1,성취만족,과제
297,2,성취만족,AI
298,0,좌절,과제
299,1,성취만족,과제
300,2,성취만족,과제
301,1,성취만족,과제
302,2,성취만족,과제
303,1,성취만족,과제
304,1,성취만족,과제
305,2,성취만족,과제
306,2,성취만족,과제
307,-1,좌절,과제
